id,내용 번호,내용 제목,생장 높이,생장 유형,최소 온도,최대 온도,생장 액티브,최소 온도,최대 온도,생장 액티브,계절,광 요구도(햇빛),최소 빛,최대 빛,관리 요구도,최소 배치 장소,최대 배치 장소,,물 주기(봄),물 주기(여름),물 주기(가을),물 주기(겨울),겨울 최소 온도,겨울 최대 온도,겨울 최저 온도
181,13214,포인세티아,100,21~25℃,21,25,1,21,25,1,"봄, 겨울",1500~10000 Lux,1500,10000,3,0,300,,2,2,2,3,13,,13℃ 이상
182,13213,폴리시아스,150,21~25℃,21,25,1,21,25,1,,800~10000 Lux,800,10000,3,50,500,,3,3,3,4,13,,13℃ 이상
183,13212,푸밀라고무나무,20,21~25℃,21,25,1,21,25,1,,800~10000 Lux,800,10000,3,0,300,,2,2,2,3,10,10,10℃
184,13211,프테리스,30,21~25℃,21,25,1,21,25,1,,300~1500 Lux,300,1500,2,0,,,2,2,2,3,5,5,5℃
185,13209,피라칸사,100,16~20℃,16,20,2,16,20,2,봄,1500~10000 Lux,1500,10000,1,0,150,,2,2,3,4,,0,0℃ 이하
186,13251,피토니아 핑크스타,20,21~25℃,21,25,1,21,25,1,,800~10000 Lux,800,10000,5,50,500,,3,3,3,4,13,,13℃ 이상
187,13197,피토니아 화이트스타,20,21~25℃,21,25,1,21,25,1,,800~10000 Lux,800,10000,3,50,500,,3,3,3,4,13,,13℃ 이상
188,13194,픽투라툼 접란,30,21~25℃,21,25,1,21,25,1,,800~10000 Lux,800,10000,2,0,300,,3,3,3,4,13,,13℃ 이상
189,13193,"필레아 글라우카(타라, 블루체인)",10,21~25℃,21,25,1,21,25,1,,800~10000 Lux,800,10000,2,0,500,,3,3,3,4,13,,13℃ 이상
190,13190,필로덴드론 선라이트,40,21~25℃,21,25,2,21,25,2,,800~10000 Lux,800,10000,3,0,500,,3,3,3,4,13,,13℃ 이상
191,13187,필로덴드론 제나두,50,21~25℃,21,25,1,21,25,1,,800~10000 Lux,800,10000,2,50,500,,3,3,3,4,13,,13℃ 이상
192,13192,필로덴드론 고엘디,50,21~25℃,21,25,1,21,25,1,,800~10000 Lux,800,10000,3,50,500,,3,3,3,4,13,,13℃ 이상
193,13191,필로덴드론 레몬라임,20,21~25℃,21,25,1,21,25,1,,800~10000 Lux,800,10000,3,0,300,,3,3,3,4,13,,13℃ 이상
194,13189,필로덴드론 셀로움,100,21~25℃,21,25,1,21,25,1,,800~10000 Lux,800,10000,3,50,500,,3,3,3,4,13,,13℃ 이상
195,13188,필로덴드론 옥시카르디움,50,21~25℃,21,25,1,21,25,1,,800~10000 Lux,800,10000,2,50,,,3,3,3,4,13,,13℃ 이상
196,13249,필로덴드론 콩고,40,21~25℃,21,25,1,21,25,1,,800~10000 Lux,800,10000,3,50,500,,3,3,3,4,13,,13℃ 이상
197,12987,해마리아,20,21~25℃,21,25,0,21,25,0,"봄, 여름",300~1500 Lux,300,1500,2,0,,,2,2,2,4,13,,13℃ 이상
198,12983,행운목,200,21~25℃,21,25,1,21,25,1,,800~10000 Lux,800,10000,1,50,500,,2,2,2,3,13,,13℃ 이상
199,12981,헤미오니티스(하트펀),20,21~25℃,21,25,1,21,25,1,,800~10000 Lux,800,10000,3,50,500,,2,2,2,3,13,,13℃ 이상
200,12979,헤테로파낙스 프라그란스(해피트리),150,21~25℃,21,25,1,21,25,1,,800~10000 Lux,800,10000,3,0,300,,3,3,3,4,13,,13℃ 이상
201,12978,협죽도,150,21~25℃,21,25,2,21,25,2,여름,1500~10000 Lux,1500,10000,1,0,150,,3,2,3,4,7,7,7℃
202,12976,형광스킨답서스,30,21~25℃,21,25,2,21,25,2,,800~10000 Lux,800,10000,2,50,500,,3,3,3,4,13,,13℃ 이상
203,12986,호야,20,21~25℃,21,25,1,21,25,1,"봄, 여름",800~10000 Lux,800,10000,2,0,300,,3,3,3,4,13,,13℃ 이상
204,12973,호주매,50,21~25℃,21,25,1,21,25,1,"봄, 여름",1500~10000 Lux,1500,10000,3,0,300,,4,3,3,4,13,,13℃ 이상
205,12937,황금마삭줄,20,16~20℃,16,20,1,16,20,1,,800~10000 Lux,800,10000,2,0,300,,3,3,3,4,5,5,5℃
206,12932,황금죽,150,16~20℃,16,20,1,16,20,1,,800~10000 Lux,800,10000,3,50,500,,3,3,3,3,13,,13℃ 이상
207,12956,후피향나무,150,16~20℃,16,20,1,16,20,1,,1500~10000 Lux,1500,10000,1,0,150,,3,3,3,4,,0,0℃ 이하
208,12920,흰꽃나도사프란,30,21~25℃,21,25,1,21,25,1,"여름, 가을",1500~10000 Lux,1500,10000,1,0,150,,4,3,3,4,5,5,5℃
209,12919,흰줄무늬달개비(트라데스칸티아),20,21~25℃,21,25,1,21,25,1,,800~10000 Lux,800,10000,2,0,300,,3,3,3,3,13,,13℃ 이상
210,12901,히포에스테스,30,21~25℃,21,25,1,21,25,1,여름,800~10000 Lux,800,10000,2,0,300,,2,2,2,3,13,,13℃ 이상
